Name,Address,Phone,Email,URL
Max & Otto,N/A,043 456 86 76*,maxundotto@europehotel.ch,https://www.local.ch/en/d/zurich/8008/restaurant/max-otto-fdt9xHki95gjIlzgN9Hx-w
Café Black,N/A,044 252 45 10*,N/A,https://www.local.ch/en/d/zurich/8008/restaurant/cafe-black-_49f4gzptafku1dgX1-fqA
CHARLIE'S CORNER,N/A,044 307 47 00*,N/A,https://www.local.ch/en/d/zurich/8050/restaurant/charlie-s-corner-5bOVX5mxW5ZSOcxFwjnzTg
Treff Restaurant-Bar,N/A,044 371 94 87,N/A,https://www.local.ch/en/d/zurich/8046/restaurant/treff-restaurant-bar-uhUFK0loY8ASCg7Ww3yFkg
Burger King,N/A,043 816 85 98,customerrelations@ssp-ch.com,https://www.local.ch/en/d/zurich/8060/restaurant/burger-king-tBy5dc1yhXwSlwq1v218AQ
Café Bar Nordbrücke,N/A,044 271 01 77*,info@nordbruecke.ch,https://www.local.ch/en/d/zurich/8037/restaurant/cafe-bar-nordbruecke-MR8B573IhpYDZhdd5DrM9g
Dupont Brasserie & Bar,N/A,044 542 92 20,info@dupont.ch,https://www.local.ch/en/d/zurich/8001/restaurant/dupont-brasserie-bar-Tt-56C7obnk5YB4ax0gcyw
HG Real,N/A,079 807 57 61,N/A,https://www.local.ch/en/d/zurich/8000/restaurant/hg-real-pV4qnZaVN5J4T1ydMeqnhA
Billiardino,N/A,043 960 33 33*,info@billiardino.ch,https://www.local.ch/en/d/zurich/8005/restaurant/billiardino-kNu1IG-2OZV_zI2Z3ypQaA
Vesuvio Pizzeria Da Antonio,N/A,044 301 14 30*,info@ristorante-vesuvio.ch,https://www.local.ch/en/d/zurich/8052/restaurant/vesuvio-pizzeria-da-antonio-rOk4JftiGIaruIOBrEl0gg
Thai Bogie Kitchen,N/A,044 557 37 47,info@thaibogie.ch,https://www.local.ch/en/d/zurich/8050/restaurant/thai-bogie-kitchen-T3x8IL6LrMteVrw2sK8jlA
Cartel - Crazy Burrito Shack,N/A,044 666 66 66,N/A,https://www.local.ch/en/d/zurich/8004/restaurant/cartel-crazy-burrito-shack-n0vpMY5PDINImomdl2s3kA
White Elephant,N/A,044 360 73 22,info@whiteelephant.ch,https://www.local.ch/en/d/zurich/8006/thai-cuisine/white-elephant-R85RXiXd2VvtwplNZKw-ew
Hotel Kindli,Rollengasse 28001 Zürich,043 888 76 76,hotel@kindli.ch,https://www.local.ch/en/d/zurich/8001/hotel/hotel-kindli-mAqcDrSlk1UNBEDaoCITwg
Musti Grill,N/A,044 432 21 21,info@musti-grill.ch,https://www.local.ch/en/d/zurich/8048/turkish-cuisine/musti-grill-sfr1guUd5BFWUEPvRs03Gg
Brasserie Louis,N/A,N/A,N/A,https://www.local.ch/en/d/zurich/8001/restaurant/brasserie-louis-kc7p0wpJULdAg4werIERNw
Almodòbar AG,N/A,043 844 44 88,info@almodobar.com,https://www.local.ch/en/d/zurich/8002/restaurant/almodobar-ag-S2Rp5OwFOy14b-Uj0tw-4Q
brendy's telepizza gmbh,N/A,043 300 60 30*,N/A,https://www.local.ch/en/d/zurich/8050/restaurant/brendy-s-telepizza-gmbh-EO0GpJ7YRV-Mzb-gypSIbA
BARADOX,N/A,044 221 06 26*,N/A,https://www.local.ch/en/d/zurich/8001/restaurant/baradox-rHMNSf83nrncw9VvRKcPhg
Tadka Restaurant,N/A,044 578 06 41,info@tadka.ch,https://www.local.ch/en/d/zurich/8005/restaurant/tadka-restaurant-B07OyPgQ9m0xT-q6_yMaCQ
Caipi Bar,N/A,N/A,N/A,https://www.local.ch/en/d/zurich/8004/restaurant/caipi-bar-QzBWjW0wdeac1enGsMowpw
Restaurant MFO,N/A,044 388 44 26,N/A,https://www.local.ch/en/d/zurich/8050/restaurant/restaurant-mfo-pc7sO6cR-7-y7n34aKRvow
Restaurant Langenberg,N/A,N/A,info@restaurant-langenberg.ch,https://www.local.ch/en/d/zurich/8008/restaurant/restaurant-langenberg-odZEubWOeo_RtRHb3BEwNA
Maxim,N/A,044 261 70 30,N/A,https://www.local.ch/en/d/zurich/8001/restaurant/maxim-2zh8nUMILK1_bevVtOv_MQ
Devi Deli Göttlich Vegan,N/A,078 819 31 13,devideli.goettlichvegan@gmail.com,https://www.local.ch/en/d/zurich/8003/restaurant/devi-deli-goettlich-vegan-xkadFss5fh9aLF-YP4L1RA
Manuel's,N/A,044 545 21 40,hola@manuels.ch,https://www.local.ch/en/d/zurich/8001/restaurant/manuel-s-v9uQDSkqzrpmytTb19aBJw
Burgermeister Langstrasse,N/A,044 241 14 91,maira@burger-meister.ch,https://www.local.ch/en/d/zurich/8004/restaurant/burgermeister-langstrasse-QdlulTgTfYlFUahWhGN3Eg
Bar Tifosi,N/A,044 241 41 48*,N/A,https://www.local.ch/en/d/zurich/8004/restaurant/bar-tifosi--73JXFGhSA8N79VL3R3cTw
Mère Catherine,N/A,044 250 59 40*,merecatherine@commercio.ch,https://www.local.ch/en/d/zurich/8001/restaurant/mere-catherine-nMluoL5Z7jnTIq4Tjp_RgA
Churrasco Steak & Nikkei Cuisine,N/A,044 221 11 44,info@churrasco.ch,https://www.local.ch/en/d/zurich/8001/restaurant/churrasco-steak-nikkei-cuisine-rq5Bkt5YgsPIaoycH0YwlA
Barrio 5,N/A,N/A,info@barrio5.ch,https://www.local.ch/en/d/zurich/8005/restaurant/barrio-5-S9AJemruFv7tF8l1YLxYqA
Sapa Canteen Zürich,N/A,044 364 93 93*,kontakt@sapacanteen.ch,https://www.local.ch/en/d/zurich/8006/vietnamese-cuisine/sapa-canteen-zuerich-sbj4uUdHFwKax8c2bIGSZw
Centro Lusitano de Zurique zum Hüsli,N/A,044 241 52 15,N/A,https://www.local.ch/en/d/zurich/8041/restaurant/centro-lusitano-de-zurique-zum-huesli-dUgMwmWlwauwgR3kL4aOug
Flussbad Unterer Letten,N/A,044 361 32 81,info@abreise.ch,https://www.local.ch/en/d/zurich/8037/restaurant/flussbad-unterer-letten-JVe1KJ6OE_cO_6AtuU6cPQ
Marktgasse Hotel Zürich,N/A,044 266 10 10*,info@marktgassehotel.ch,https://www.local.ch/en/d/zurich/8001/restaurant/marktgasse-hotel-zuerich-Q1h658IrFCED-cbdlYFueg
Dr. Dog Restaurant,N/A,043 557 20 20,box@drdog.ch,https://www.local.ch/en/d/zurich/8002/restaurant/dr-dog-restaurant-itTWXYGXg8w1PQgn60-1ew
Cafeteria ZHAW,N/A,044 242 44 80,N/A,https://www.local.ch/en/d/zurich/8004/restaurant/cafeteria-zhaw-LxdrVU5f6eRSD_s5YbzmFw
Restaurant Roter Stein,N/A,043 541 82 62*,N/A,https://www.local.ch/en/d/zurich/8048/restaurant/restaurant-roter-stein-hY8wS54kEKOuBLMd_Ys8zg
Cafe & Beck Max Bill,N/A,043 333 57 50*,N/A,https://www.local.ch/en/d/zurich/8050/restaurant/cafe-beck-max-bill-Ippd8yb6Z8E2anhgaCTI3Q
Don Quijote,N/A,N/A,N/A,https://www.local.ch/en/d/zurich/8004/restaurant/don-quijote-adetcCrdgW5oB2OWoWOKrQ
Tina Bar,N/A,044 250 76 86,tina@tina-bar.ch,https://www.local.ch/en/d/zurich/8001/restaurant/tina-bar-T9arLbmJ-icue_Cx9cPYPg
Cafeteria Berufsschule für Gestaltung Zürich (Limmatplatz),N/A,044 446 97 81*,N/A,https://www.local.ch/en/d/zurich/8005/restaurant/cafeteria-berufsschule-fuer-gestaltung-zuerich-limmatplatz-_NsGGkqXaRR3d1P-D5v6mQ
Restaurant Vulkan,N/A,044 273 76 67*,N/A,https://www.local.ch/en/d/zurich/8005/restaurant/restaurant-vulkan-xi32XFsUAWwpbUKCsnxkcA
Juni & Juli,N/A,N/A,info@junijuli.ch,https://www.local.ch/en/d/zurich/8045/restaurant/juni-juli-bLYDOJ79sxN4nleRrBSjaw
Cucina Milchbuck,N/A,044 361 21 14,milchbuck@cucinarestaurant.ch,https://www.local.ch/en/d/zurich/8057/restaurant/cucina-milchbuck-q9mxxFe44FHCZBW3SFft0A
Dozentenfoyer,N/A,N/A,oliver.hochstrasser@sv-group.ch,https://www.local.ch/en/d/zurich/8092/restaurant/dozentenfoyer-dk8M0rF-cCvfwMqRsUBWBQ
Rheinfelder Bierhaus,N/A,044 251 29 91,N/A,https://www.local.ch/en/d/zurich/8001/restaurant/rheinfelder-bierhaus-X-T3GWFwaZL-DIaQly5tHg
Restaurant Höschgasse 33 Market GmbH,N/A,044 383 56 70*,N/A,https://www.local.ch/en/d/zurich/8008/restaurant/restaurant-hoeschgasse-33-market-gmbh-hkE6uudPhi8Qa2rBjW5TOA
King's Cave Grill-Restaurant,N/A,044 256 55 55*,kingscave@central.ch,https://www.local.ch/en/d/zurich/8001/restaurant/king-s-cave-grill-restaurant-nPbjtNWNFkb22yUbtN3vLQ
Cafe Takeaway Leonhardstreppe,N/A,076 721 31 52,N/A,https://www.local.ch/en/d/zurich/8001/restaurant/cafe-takeaway-leonhardstreppe-xZTqRF_ONlhg57ezpfGe2Q
Weisses Kreuz,N/A,044 251 49 50*,info@restaurant-weisseskreuz.ch,https://www.local.ch/en/d/zurich/8008/restaurant/weisses-kreuz-yDB5wcMCCjh8CghjYFy0AQ
Studacker,N/A,043 399 80 20*,studacker@wollishofer-heime.ch,https://www.local.ch/en/d/zurich/8038/homes-for-the-elderly-with-nursing-care/studacker-6tCMXi4_NG3y27cj9MJvbQ
Argentina Steakhouse und Restaurant,N/A,043 299 90 60*,oerlikon@steakhouse-argentina.ch,https://www.local.ch/en/d/zurich/8050/restaurant/argentina-steakhouse-und-restaurant-kDeDMiJGxsM-o9LyfG8wGQ
Maneez Restaurant & Take Away,N/A,076 496 97 96,maneez.restaurant@gmail.com,https://www.local.ch/en/d/zurich/8005/restaurant/maneez-restaurant-take-away-p_D4uNCnSCUQXbr23Reuqg
Linde Oberstrass,N/A,044 362 21 09*,linde@remimag.ch,https://www.local.ch/en/d/zurich/8006/restaurant/linde-oberstrass-Rg3Hqs_zciXmjJF0V3Wx6g
Bubbles,N/A,044 240 31 31,N/A,https://www.local.ch/en/d/zurich/8004/restaurant/bubbles-y8ovxRbVgJcvaiBZMQRclA
Eglihof,N/A,044 512 59 68,N/A,https://www.local.ch/en/d/zurich/8004/restaurant/eglihof-QGCaXCOE2KdJvVmPI92FZw
Da Pone,N/A,043 344 55 44*,info@dapone.ch,https://www.local.ch/en/d/zurich/8037/restaurant/da-pone-gcRN-cblp65gzTgl_iZiqw
Domino's Pizza Zürich Sihlhölzli,N/A,N/A,marketing@dominos.ch,https://www.local.ch/en/d/zurich/8003/restaurant/domino-s-pizza-zuerich-sihlhoelzli-qfHgtbf5n53xso9oL5FtJw
Restaurant Schwamedinge,N/A,043 300 20 55*,N/A,https://www.local.ch/en/d/zurich/8051/restaurant/restaurant-schwamedinge-nKWotM1QFLuabeJKWpl1Jg
Bei Foued,N/A,078 839 26 09*,byfoued19@gmail.com,https://www.local.ch/en/d/zurich/8051/restaurant/bei-foued-SJi0vE2vohNzU1CzP1IgJw
Gül,N/A,044 431 90 90,yemek@guel.ch,https://www.local.ch/en/d/zurich/8004/restaurant/guel-9ihqYKLAXMg0KKj8b0WZwQ
China Restaurant,N/A,044 222 28 28,N/A,https://www.local.ch/en/d/zurich/8001/restaurant/china-restaurant-63OmPCHfA7sndB6ux8_lcw
Restaurant Ach'i,N/A,044 542 88 85,restaurantachi@gmail.com,https://www.local.ch/en/d/zurich/8004/restaurant/restaurant-ach-i-xOsLr9V4nJXwYZCvLxZHdw
Asia Restaurant,N/A,076 718 29 22,flughafen.asia@autogrill.net,https://www.local.ch/en/d/zurich/8060/restaurant/asia-restaurant-myWf85JP_ddiSYxGu2sKeg
Bauschänzli,N/A,044 212 49 19,N/A,https://www.local.ch/en/d/zurich/8001/restaurant/bauschaenzli-hykxwoj8BRPfwtivczTxwA
Amigos Tapas,N/A,044 261 03 03*,tapasamigoss@gmail.com,https://www.local.ch/en/d/zurich/8001/restaurant/amigos-tapas-9JSmGLr4cwJnMG8-gQsItQ
Brasserie Bits&Bites,N/A,044 316 11 44*,N/A,https://www.local.ch/en/d/zurich/8050/restaurant/brasserie-bits-bites-RdMVrsc0BzEtYDpy3FXkrQ
Saftlade,N/A,N/A,N/A,https://www.local.ch/en/d/zurich/8001/restaurant/saftlade-fh09cdkBX6YLU_FZzS82mg
Cafe Le Mur & Kiosk,N/A,044 241 59 39*,N/A,https://www.local.ch/en/d/zurich/8004/restaurant/cafe-le-mur-kiosk-_Hqxk7ArgBP0VycImVHx7Q
Restaurant 313,N/A,044 463 99 22,N/A,https://www.local.ch/en/d/zurich/8055/restaurant/restaurant-313-tbGNT61yy2QJj1ULynjFOA
La Trattoria Blumenau,N/A,044 750 02 33,info@trattoria-blumenau.ch,https://www.local.ch/en/d/zurich/8008/restaurant/la-trattoria-blumenau-YqUou4eQBBT9uQMEtn2cow
Restaurant Alexis & Winebar,N/A,044 252 37 88*,zuerich@alexis-cana.ch,https://www.local.ch/en/d/zurich/8001/restaurant/restaurant-alexis-winebar-rN1QNT96i4ohcyA7A_lY5w
Steiner Flughafebeck,N/A,044 210 09 30*,pfingstweidpark@flughafebeck.ch,https://www.local.ch/en/d/zurich/8005/restaurant/steiner-flughafebeck-P1wwhkZR7aRcYdA1xsPnrA
Ojo De Agua Weinkontor GmbH,N/A,044 210 47 00*,N/A,https://www.local.ch/en/d/zurich/8001/wine-wine-trade/ojo-de-agua-weinkontor-gmbh-oGfgLwSYqzHCIWA-aYs0_g
Ristorante Virtù,N/A,044 554 18 78*,mail@ristorante-virtu.ch,https://www.local.ch/en/d/zurich/8050/restaurant/ristorante-virtu-kqWU_13pdqpGZhm_xKHuYQ
Il Grappolo,N/A,044 481 70 60,info@restaurant-ilgrappolo.ch,https://www.local.ch/en/d/zurich/8038/restaurant/il-grappolo-EOtLvWO5D-7yMI4za4ozDg
Ekinci Ramazan,N/A,043 311 04 33*,info@pizzacasa.ch,https://www.local.ch/en/d/zurich/8003/restaurant/ekinci-ramazan-7yNKrJc5xaO9kde30JWUFg
azzurri,N/A,043 817 04 61,N/A,https://www.local.ch/en/d/zurich/8048/restaurant/azzurri-Pxc2twCUsZFjDXPT-jlJVg
Restaurant Fallender Brunnenhof,N/A,044 350 17 50,N/A,https://www.local.ch/en/d/zurich/8057/restaurant/restaurant-fallender-brunnenhof-SbiK6a_QTmx05Bvl90KoHQ
CLOUDS,N/A,044 404 30 00*,info@clouds.ch,https://www.local.ch/en/d/zurich/8005/restaurant/clouds-s0he8ZshCEcp70E3GrP_dg
Bäckerei Jung,N/A,044 252 32 32*,N/A,https://www.local.ch/en/d/zurich/8001/restaurant/baeckerei-jung-1LqKTics9OdNF-8bdFaTog
50zu5,N/A,044 382 82 89,info@50zu5.ch,https://www.local.ch/en/d/zurich/8008/restaurant/50zu5-BvOu0fBop7uabLdcyxIjYA
Restaurant Schipfe 16,N/A,044 211 21 22,schipfe@zuerich.ch,https://www.local.ch/en/d/zurich/8001/restaurant/restaurant-schipfe-16-Wt5HL0GBeCXmFSqfCB-5qw
"Cooperativo, Coopi",N/A,044 241 44 75,N/A,https://www.local.ch/en/d/zurich/8004/restaurant/cooperativo-coopi-W0RKoHJvV5dXLkgMzUwymw
Burgstein's Gasthaus Penalty,N/A,N/A,N/A,https://www.local.ch/en/d/zurich/8004/restaurant/burgstein-s-gasthaus-penalty-Oc7WK8XJQHBGsH4vq1JG1A
Burger Brothers Swiss,N/A,041 543 18 54,N/A,https://www.local.ch/en/d/zurich/8048/restaurant/burger-brothers-swiss-P1Lzr5IyEalcaGGkCpLlSQ
MIKI Ramen,N/A,044 450 37 76*,N/A,https://www.local.ch/en/d/zurich/8003/restaurant/miki-ramen-K-7GD-Yf_SOtxzcEiD3UCQ
Fulin,N/A,044 291 33 88,lin@fulin.ch,https://www.local.ch/en/d/zurich/8004/restaurant/fulin-UptxdqVG4rdLPNZAHhnY2w
Angkor,N/A,043 205 28 88,toni.sakac@mangosteengroup.ch,https://www.local.ch/en/d/zurich/8005/restaurant/angkor-MpJtWfI7L3WJGo0U5cwTEg
La Stanza,N/A,043 817 62 82,lastanza@lastanza.ch,https://www.local.ch/en/d/zurich/8002/restaurant/la-stanza-qEoTKMTe4XtLKMOgIRDhmw
Casino Zürich,N/A,043 330 30 30*,N/A,https://www.local.ch/en/d/zurich/8001/casinos/casino-zuerich-vxuvLJYnKHcAkQ_NLSDNYg
Family Grill GmbH,N/A,044 309 12 60,N/A,https://www.local.ch/en/d/zurich/8052/restaurant/family-grill-gmbh-jmHXZNXCHm0Y0twX2v8Udw
Cinchona Bar,N/A,044 576 50 04*,N/A,https://www.local.ch/en/d/zurich/8004/restaurant/cinchona-bar-y_4QbF49oq0NosWepTOYDQ
Nude Café & Bar,N/A,044 350 26 19,hello@nude-zurich.com,https://www.local.ch/en/d/zurich/8037/restaurant/nude-cafe-bar-57WlsktoxLoq-cOBuRBePw
Äss-Bar,N/A,076 605 04 34,info@aess-bar.ch,https://www.local.ch/en/d/zurich/8001/restaurant/ass-bar-T95_uiB03BhsLYIrS7Yb8A
Simon's Steakhouse Grill & Restaurant & Bar,N/A,044 260 56 46*,info@simonsteakhouse.ch,https://www.local.ch/en/d/zurich/8001/steakhouse/simon-s-steakhouse-grill-restaurant-bar-pQM2ERptv2mPKtfP7_oKtg
Restaurant Emilio Weinhandlung AG,N/A,044 241 83 21*,info@restaurant-emilio.ch,https://www.local.ch/en/d/zurich/8004/restaurant/restaurant-emilio-weinhandlung-ag-Qh87cFuRbqgG70GApIGgEA
Store Sihlcity,N/A,043 421 42 37*,N/A,https://www.local.ch/en/d/zurich/8045/restaurant/store-sihlcity-4Gcr-wm8br_EG92qkZ2ZlQ
aMA Pasticceria AG,N/A,044 491 90 90,N/A,https://www.local.ch/en/d/zurich/8047/restaurant/ama-pasticceria-ag-lXbEJrIsgu9TIEx-gtN4Qg
An Chay,N/A,044 621 08 40,N/A,https://www.local.ch/en/d/zurich/8003/restaurant/an-chay-mj7NT3MCxl-5gckSOec1vg
Shangrila Tibet Restaurant,N/A,044 462 04 12*,info@shangrila-tibet.ch,https://www.local.ch/en/d/zurich/8055/restaurant/shangrila-tibet-restaurant-sTlnhe1BKRrY6rB1HghhKQ
Backerei Und Cafe Wust,N/A,044 450 88 22*,N/A,https://www.local.ch/en/d/zurich/8008/restaurant/backerei-und-cafe-wust-paWk-5f4Kb0d05YUj_HBAQ
Bürgli,N/A,044 482 81 00,N/A,https://www.local.ch/en/d/zurich/8038/restaurant/buergli-ksndgHnjbjFghAZjqOfXig
Pizzeria Bella Napoli Zürich,N/A,044 450 77 77,5stargastrogmbh@pizzeria-bellanapoli.ch,https://www.local.ch/en/d/zurich/8055/pizzeria/pizzeria-bella-napoli-zuerich-fmOQzwIBZhBIURVVHwL5yw
Restaurant La Soupière,N/A,044 218 88 40*,info@hotelschweizerhof.com,https://www.local.ch/en/d/zurich/8001/restaurant/restaurant-la-soupiere-_O0MTaYK-C4paHqtEIrVlg
Ristorante Hönggerhof,N/A,044 296 13 13*,info@hoenggerhof.ch,https://www.local.ch/en/d/zurich/8049/restaurant/ristorante-hoenggerhof-Tpb7hyocS-Am1d9Dao99YA
dieci Pizza Kurier Zürich Hardbrücke,N/A,044 242 20 70*,N/A,https://www.local.ch/en/d/zurich/8004/restaurant/dieci-pizza-kurier-zuerich-hardbruecke-gRsHUmDPlYiw49ERmQg2SA
Spizzati,N/A,043 558 18 18,order@spizzati.ch,https://www.local.ch/en/d/zurich/8032/restaurant/spizzati-ARxOmKn13FG0Ov3Pl4MhRQ
Escherwyss Kebab,N/A,N/A,drk4ph3x@msn.com,https://www.local.ch/en/d/zurich/8005/restaurant/escherwyss-kebab-fI6FARpKLk6qZVLMkUvIZA
Alegria Restaurante Peruano,N/A,076 505 91 16,alegria@bergolio.ch,https://www.local.ch/en/d/zurich/8038/restaurant/alegria-restaurante-peruano-xmAm6iSjZt_QhYTWpKpl1g
Bistro ufem Chilehügel,N/A,043 343 03 58*,info@chilehuegel.ch,https://www.local.ch/en/d/zurich/8048/restaurant/bistro-ufem-chilehuegel-LEYyc-ZS7essCeK1K9Q_xw
Gräbli-Bar,N/A,044 251 95 95,N/A,https://www.local.ch/en/d/zurich/8001/restaurant/graebli-bar-s4LpHeRC4g7CyeYO6nWZzA
miró manufactura de café,N/A,N/A,hello@mirocoffee.co,https://www.local.ch/en/d/zurich/8004/restaurant/miro-manufactura-de-cafe-7HKzVdn4o4gnMub2OC5h5g
Kian,N/A,079 599 11 11,N/A,https://www.local.ch/en/d/zurich/8001/restaurant/kian--5O2nEiAxGiAVphjOH7ZSA
Restaurant Bistro Riffraff,N/A,044 272 80 10,N/A,https://www.local.ch/en/d/zurich/8005/restaurant/restaurant-bistro-riffraff-zm8K-NeFENvEZNOYp6N4Qg
Apollo Taverna,N/A,044 311 61 00,N/A,https://www.local.ch/en/d/zurich/8051/restaurant/apollo-taverna-2n-Sb-gmhKFF1OarMRcsyg
Paul`s Chässtübli,N/A,044 310 31 18*,N/A,https://www.local.ch/en/d/zurich/8050/restaurant/pauls-chaesstuebli-o4YE7c8mXQs22wpkHq_eQA
Restaurant/Zunfthaus zum Grünen Glas,N/A,044 251 65 04*,reservation@gruenesglas.ch,https://www.local.ch/en/d/zurich/8001/restaurant/restaurant-zunfthaus-zum-gruenen-glas-5ZtWvQUJfeYRyJIxI2e0Hg
Luca² Restaurant,N/A,044 252 03 53*,N/A,https://www.local.ch/en/d/zurich/8032/restaurant/luca-restaurant-mo4deJn7E9AINqfIbHBFmw
